HU,Pagina,CP,Descripcion Original,Descripcion Corregida,Tipo
HU-004,Registro,CP-21,Validación de DNI,Validación con pattern [0-9]{8} (validación nativa HTML5). Error en React: "El DNI debe tener exactamente 8 dígitos". La validación nativa del browser se dispara primero,Automático
HU-004,Registro,CP-22,Validación de Email,Validación nativa HTML5 con type="email". El browser valida el formato antes del submit,Automático
HU-004,Registro,CP-23,Validación de Contraseña,Validación en React: si password.length < 6 muestra "La contraseña debe tener al menos 6 caracteres". No tiene minLength en HTML,Automático
HU-004,Registro,CP-24,Confirmación de Contraseña,Validación en React: si password !== confirmPassword muestra "Las contraseñas no coinciden",Automático
HU-004,Registro,CP-25,Enlaces de navegación,Enlaces: "¿Ya tienes cuenta? Inicia sesión aquí" → /login. "Volver al inicio" → /,Automático
HU-005,Pasarela de Pagos,CP-33,Redirección a /login si no autenticado,El middleware redirige a /membresias (no a /login) si el usuario no está autenticado en /pasarelapago,Automático
HU-005,Pasarela de Pagos,CP-34,Error si plan no existe,Si el usuario no está autenticado: redirige a /membresias antes de evaluar el plan. Si está autenticado: muestra "Plan no encontrado",Automático
HU-005,Pasarela de Pagos,CP-35,Página sin plan_id muestra mensaje de selección,El código actual redirige al home si no hay plan_id. No muestra mensaje de selección. Requiere modificar fuente para cambiar comportamiento,Automático
HU-005,Pasarela de Pagos,CP-36,Botón Pagar con Mercado Pago funciona,El botón "Pagar con Mercado Pago" se renderiza si hay plan válido y usuario autenticado. Requiere credenciales MP reales para probar el pago completo,Manual
HU-005,Pasarela de Pagos,CP-37,Página de estado "aprobado" muestra éxito,Muestra "¡Pago aprobado!" o "¡Membresía activada!" con mensaje de confirmación,Automático
HU-005,Pasarela de Pagos,CP-38,Página de estado "rechazado" muestra fallo,Muestra "Pago no procesado" con mensaje "El pago no pudo ser completado",Automático
HU-005,Pasarela de Pagos,CP-39,Página de estado "pendiente" muestra espera,Muestra "Pago pendiente" con mensaje "Tu pago está siendo procesado",Automático
HU-005,Pasarela de Pagos,CP-40,Webhook de Mercado Pago procesa pago correctamente,El webhook en /api/pagos/webhook procesa eventos de MP. Requiere MERCADO_PAGO_ACCESS_TOKEN y WEBHOOK_SECRET reales para probar,Manual
HU-006,Recepcionista,CP-41,Redirección a /login si no autenticado,El middleware redirige a /login para todas las rutas /recepcionista/* si no hay sesión de Supabase,Automático
HU-006,Recepcionista,CP-42,Vista de dashboard carga correctamente,Requiere autenticación. Dashboard muestra "Bienvenido, {nombre}" con 3 cards de estadísticas (valores placeholder "--") y acciones rápidas,Automático
HU-006,Recepcionista,CP-43,Nav con enlaces a Clientes Membresías Reportes,Header horizontal con enlaces: Clientes (/recepcionista/clientes), Membresías (/recepcionista/membresias), Reportes (/recepcionista/reportes). También muestra nombre de usuario y botón de logout,Automático
HU-006,Recepcionista,CP-44,Cards de estadísticas visibles,Tres cards: "Total Clientes" (--), "Membresías Activas" (--), "Membresías por Vencer" (--). Valores placeholder porque no hay conexión a datos reales,Automático
HU-006,Recepcionista,CP-45,Tabla de clientes con columnas correctas,Componente ListaClientes con columnas: Nombre, DNI, Email, Teléfono, Membresía (condicional), Estado, Acciones (iconos ojo/editar). Depende de datos en Supabase,Manual
HU-006,Recepcionista,CP-46,Botón "Agregar Cliente" funciona,No existe botón "Agregar Cliente" en la página actual. Solo hay buscador y filtro de membresía. Para agregar cliente se necesita navegación adicional,Manual
HU-006,Recepcionista,CP-47,Barra de búsqueda filtra clientes,Componente BuscadorCliente con placeholder "Buscar por nombre, DNI o teléfono...". Filtra mediante función listarClientes() con parámetro busqueda,Manual
HU-006,Recepcionista,CP-48,Paginación funciona,Paginación visible cuando totalPages > 1. Botones anterior/siguiente con ChevronLeft/ChevronRight. Depende de tener suficientes datos,Manual
HU-006,Recepcionista,CP-49,Página de Membresías "Próximamente",Página placeholder con título "Próximamente" e icono Construction. Requiere autenticación,Automático
HU-006,Recepcionista,CP-50,Página de Reportes "Próximamente",Página placeholder con título "Próximamente" e icono Construction. Requiere autenticación,Automático
